zip,area,median_sale_price,price_yoy_pct,median_ppsf,median_dom,sale_to_list_pct,sold_above_list_pct,off_market_2wk_pct,homes_sold_3m_avg,inventory,appreciation_5y_pct,heat_index,heat_index_year_ago,volume_tier,heat_momentum,value_gap_pct,flag
23038,,311000.0,6.5,185.0,116.0,97.5,55.2,26.0,4.7,5.0,36.0,28.7,25.7,thin (<10 sales/mo),3.0,-3.2,
23106,,375650.0,31.5,236.0,43.0,98.4,0.0,53.3,3.7,1.0,52.0,28.4,,thin (<10 sales/mo),,12.8,
23192,,509983.0,-24.7,240.0,50.0,98.9,23.2,45.4,23.7,23.0,20.8,26.0,27.4,moderate,-1.4,-18.4,
23009,Aylett (King William),377983.0,-4.6,210.0,71.0,99.8,27.8,28.8,51.3,56.0,41.6,23.0,15.1,high volume,7.9,2.4,
23005,Ashland (Hanover),496500.0,-5.5,250.0,52.0,99.3,30.0,31.6,46.0,53.0,38.4,23.0,76.7,high volume,-53.7,-0.9,BUYER LEVERAGE
23015,Beaverdam (Hanover),488317.0,14.6,244.0,59.0,98.9,28.9,37.4,15.3,21.0,33.3,21.3,20.1,moderate,1.2,-6.0,
23047,Doswell (Hanover),359667.0,-60.2,212.0,24.0,97.8,19.4,0.0,4.7,8.0,-15.1,20.4,22.2,thin (<10 sales/mo),-1.8,-54.4,
23124,New Kent,453356.0,-1.3,228.0,97.0,99.8,20.4,26.7,56.3,50.0,37.0,19.3,30.9,high volume,-11.6,-2.2,
23841,Dinwiddie,322833.0,-7.5,198.0,50.0,96.9,25.5,38.3,10.3,5.0,42.8,18.9,87.2,moderate,-68.3,3.5,BUYER LEVERAGE
23872,,293000.0,-6.9,193.0,26.0,92.9,16.7,12.2,6.0,3.0,81.6,16.2,11.1,thin (<10 sales/mo),5.1,42.3,
23882,,198250.0,-58.0,114.0,63.0,96.0,30.6,30.0,3.3,4.0,54.5,14.2,,thin (<10 sales/mo),,15.2,
23875,Prince George,339325.0,-8.6,220.0,98.0,98.6,25.3,27.4,31.7,19.0,31.5,13.5,64.2,high volume,-50.7,-7.8,BUYER LEVERAGE
23888,,329750.0,153.1,212.0,142.0,98.4,3.7,10.8,7.7,5.0,74.8,6.1,31.1,thin (<10 sales/mo),-25.0,35.6,BUYER LEVERAGE
